Ano de eleição,Município,Partido,Código município,Nome candidato,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2022,MARATÁ,MDB,86983,LUCIANO DA SILVA SILVEIRA,Eleito,0,LUCIANO DA SILVA SILVEIRA,MARATA
2022,ACEGUÁ,PSDB,88986,VALDIR BONATTO,Eleito,0,VALDIR BONATTO,ACEGUA
2022,DILERMANDO DE AGUIAR,PSDB,88188,NADINE TAGLIARI FARIAS ANFLOR,Eleito,1,NADINE TAGLIARI FARIAS ANFLOR,DILERMANDO DE AGUIAR
2022,CIRÍACO,PSDB,86070,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,CIRIACO
2022,DILERMANDO DE AGUIAR,PSDB,88188,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,DILERMANDO DE AGUIAR
2022,FORQUETINHA,PSDB,89222,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,FORQUETINHA
2022,SANTA MARIA,PSDB,88412,NERI ANDRADE PEREIRA JUNIOR,Eleito,15,NERI ANDRADE PEREIRA JUNIOR,SANTA MARIA
2022,VILA MARIA,PSDB,85642,NERI ANDRADE PEREIRA JUNIOR,Eleito,0,NERI ANDRADE PEREIRA JUNIOR,VILA MARIA
2022,SANTIAGO,PSDB,88510,NERI ANDRADE PEREIRA JUNIOR,Eleito,0,NERI ANDRADE PEREIRA JUNIOR,SANTIAGO
2022,SANTO AUGUSTO,PSDB,88595,NERI ANDRADE PEREIRA JUNIOR,Eleito,0,NERI ANDRADE PEREIRA JUNIOR,SANTO AUGUSTO
2022,ROCA SALES,PSDB,88196,NERI ANDRADE PEREIRA JUNIOR,Eleito,6,NERI ANDRADE PEREIRA JUNIOR,ROCA SALES
2022,POÇO DAS ANTAS,PSDB,86126,NERI ANDRADE PEREIRA JUNIOR,Eleito,1,NERI ANDRADE PEREIRA JUNIOR,POCO DAS ANTAS
2022,SEBERI,PSDB,89052,VALDIR BONATTO,Eleito,4,VALDIR BONATTO,SEBERI
2022,TURUÇU,PSDB,88501,NADINE TAGLIARI FARIAS ANFLOR,Eleito,6,NADINE TAGLIARI FARIAS ANFLOR,TURUCU
2022,MAÇAMBARÁ,PSDB,88447,NADINE TAGLIARI FARIAS ANFLOR,Eleito,5,NADINE TAGLIARI FARIAS ANFLOR,MACAMBARA
2022,SÃO LEOPOLDO,PSDB,88773,PEDRO OZORIO PEREIRA,Eleito,12,PEDRO OZORIO PEREIRA,SAO LEOPOLDO
2022,MATO CASTELHANO,PSDB,87025,PEDRO OZORIO PEREIRA,Eleito,0,PEDRO OZORIO PEREIRA,MATO CASTELHANO
2022,PORTO VERA CRUZ,PP,87483,SILVANA MARIA FRANCISCATTO COVATTI,Eleito,0,SILVANA MARIA FRANCISCATTO COVATTI,PORTO VERA CRUZ
