Ano de eleição,Código município,Município,Nome candidato,Partido,Situação totalização,Votos nominais,Nome_deputado_padronizado,MUNICIPIO PADRONIZADO
2018,84972,IBARAMA,LUCIANO LORENZINI ZUCCO,PSL,Eleito,3,TENENTE CORONEL ZUCCO,IBARAMA
2018,87335,LIBERATO SALZANO,APARECIDO MACEDO,PSL,Eleito,1,CAPITAO MACEDO,LIBERATO SALZANO
2018,87114,IRAÍ,APARECIDO MACEDO,PSL,Eleito,5,CAPITAO MACEDO,IRAI
2018,85480,SÃO MIGUEL DAS MISSÕES,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,SAO MIGUEL DAS MISSOES
2018,89036,SARANDI,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,SARANDI
2018,88722,TABAÍ,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,1,PEDRO OZORIO PEREIRA,TABAI
2018,86479,ESPUMOSO,VILMAR LOURENÇO,PSL,Eleito,1,VILMAR LOURENCO,ESPUMOSO
2018,89753,SALTO DO JACUÍ,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,10,PEDRO OZORIO PEREIRA,SALTO DO JACUI
2018,87416,MARIANO MORO,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,MARIANO MORO
2018,89249,ITATI,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,1,PEDRO OZORIO PEREIRA,ITATI
2018,85405,PROTÁSIO ALVES,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,PROTASIO ALVES
2018,86118,CONDOR,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,1,PEDRO OZORIO PEREIRA,CONDOR
2018,89060,BOA VISTA DO INCRA,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,BOA VISTA DO INCRA
2018,89486,SÃO PEDRO DAS MISSÕES,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,SAO PEDRO DAS MISSOES
2018,87238,JAGUARI,VILMAR LOURENÇO,PSL,Eleito,0,VILMAR LOURENCO,JAGUARI
2018,86479,ESPUMOSO,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,185,RUY IRIGARAY,ESPUMOSO
2018,86886,LAGOA DOS TRÊS CANTOS,RUY SANTIAGO IRIGARAY JUNIOR,PSL,Eleito,19,RUY IRIGARAY,LAGOA DOS TRES CANTOS
2018,89494,TUPARENDI,PEDRO OZÓRIO PEREIRA,PSDB,Eleito,0,PEDRO OZORIO PEREIRA,TUPARENDI
2018,85529,SEGREDO,LUCIANO LORENZINI ZUCCO,PSL,Eleito,17,TENENTE CORONEL ZUCCO,SEGREDO
2018,85219,ARROIO DOS RATOS,LUCIANO LORENZINI ZUCCO,PSL,Eleito,260,TENENTE CORONEL ZUCCO,ARROIO DOS RATOS
2018,86576,FAXINAL DO SOTURNO,LUCIANO LORENZINI ZUCCO,PSL,Eleito,67,TENENTE CORONEL ZUCCO,FAXINAL DO SOTURNO
2018,85200,CAMPOS BORGES,LUCIANO LORENZINI ZUCCO,PSL,Eleito,7,TENENTE CORONEL ZUCCO,CAMPOS BORGES
